"Geneid","ensembl_id","gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000165995.25","ENSG00000165995","CACNB2",564.347021952001,3.26140553412817,0.127540589071902,25.5715106685725,3.16572075729672e-144,5.39502131458507e-140
"ENSG00000152583.15","ENSG00000152583","SPARCL1",1010.85526680987,4.57807718597789,0.184557958790757,24.805634045662,7.7939801717705e-136,6.64125050436565e-132
"ENSG00000120129.8","ENSG00000120129","DUSP1",3461.43819245451,2.95723166895689,0.121785608609903,24.2822752434512,3.01738244743441e-130,1.71407438897257e-126
"ENSG00000101347.13","ENSG00000101347","SAMHD1",12926.7629756913,3.77174724024678,0.158033968662987,23.8666868405372,6.79596083438092e-126,2.89541911348799e-122
"ENSG00000189221.13","ENSG00000189221","MAOA",2370.96293463225,3.35263108156148,0.143350848118752,23.3875915319605,5.71595004611374e-121,1.94822441371741e-117
"ENSG00000211445.14","ENSG00000211445","GPX3",12368.0469882087,3.73020611899793,0.16583667676768,22.4932517444471,4.83252874214234e-112,1.37259924705983e-108
"ENSG00000162614.21","ENSG00000162614","NEXN",5550.30899497715,2.0342456408102,0.092694050999041,21.94580578673,9.4970011351131e-107,2.31211276206568e-103
"ENSG00000157214.16","ENSG00000157214","STEAP2",3057.35476824192,1.97672415868521,0.0914876455414712,21.6064600524578,1.56172685313546e-103,3.3268686288918e-100
"ENSG00000154734.18","ENSG00000154734","ADAMTS1",30582.0059453764,2.35191463537045,0.116482767402705,20.1910951105702,1.17236892529738e-90,2.21994569165755e-87
"ENSG00000157150.7","ENSG00000157150","TIMP4",366.44269900196,2.99728727367963,0.14951581005288,20.0466243176528,2.16014379181601e-89,3.68131705001285e-86
"ENSG00000162493.19","ENSG00000162493","PDPN",1105.52024819692,1.89144532152721,0.0956173927829203,19.7813940171047,4.30620011914554e-87,6.67147840277076e-84
"ENSG00000179094.19","ENSG00000179094","PER1",816.487907337701,3.20500803716861,0.1624268044543,19.7320143552437,1.14515144522488e-86,1.62630591079354e-83
"ENSG00000163884.6","ENSG00000163884","KLF15",608.001611429218,4.45802397031382,0.228618353278029,19.4998516365495,1.10101211327953e-84,1.44334218726998e-81
"ENSG00000162692.14","ENSG00000162692","VCAM1",510.192719129153,-3.68098245929624,0.191139704621625,-19.2580733897387,1.20789860692587e-82,1.47035771851647e-79
"ENSG00000139132.17","ENSG00000139132","FGD4",1233.14316059403,2.23135638543087,0.116034362758673,19.2301343531452,2.07090968121429e-82,2.35282951915026e-79
"ENSG00000134243.14","ENSG00000134243","SORT1",5578.85022021013,2.19922548805521,0.114648649552722,19.1823060858984,5.20211426049394e-82,5.54090195170861e-79
"ENSG00000178695.6","ENSG00000178695","KCTD12",2667.06857814533,-2.51697279473436,0.136241234571816,-18.4743833439619,3.31999031261318e-76,3.32819264162081e-73
"ENSG00000106976.24","ENSG00000106976","DNM1",1069.8697717788,-1.75939054618456,0.0953076815752848,-18.4601127328315,4.32438124847815e-76,4.09422806869804e-73
"ENSG00000146250.9","ENSG00000146250","PRSS35",314.597357048605,-2.73140242531331,0.152012228040172,-17.9683072903286,3.45084355871868e-72,3.09522504882546e-69
"ENSG00000172403.12","ENSG00000172403","SYNPO2",9254.84819722257,1.75670089642086,0.0981735588174038,17.8938292304164,1.31736421315584e-71,1.12252604603009e-68
"ENSG00000198624.15","ENSG00000198624","CCDC69",2070.58518987438,2.93192798526052,0.163905155961812,17.8879545799257,1.4638383729892e-71,1.18793969297533e-68
"ENSG00000148848.16","ENSG00000148848","ADAM12",1387.32901784487,-1.80717672400503,0.102395066585967,-17.6490604895285,1.03463055898629e-69,8.01462453920194e-67
"ENSG00000163394.6","ENSG00000163394","CCKAR",1214.01746254506,-2.17687021813993,0.126317500742233,-17.2333224244367,1.49322733018825e-66,1.10641652874209e-63
"ENSG00000125148.9","ENSG00000125148","MT2A",3219.49722542815,2.22608887388113,0.129645851746054,17.1705368424862,4.4131935571631e-66,3.13373519171556e-63
"ENSG00000162616.11","ENSG00000162616","DNAJB4",1530.16218925297,1.51792787861404,0.0886923089107183,17.1145378585425,1.15629737121086e-65,7.8822479200702e-63
"ENSG00000124766.7","ENSG00000124766","SOX4",1307.13602832107,-2.398178588228,0.141766450768151,-16.9164042355131,3.40600543437792e-64,2.23250556202571e-61
"ENSG00000163083.7","ENSG00000163083","INHBB",441.297187620731,3.45991115526951,0.205600170867424,16.8283476646551,1.51264776962533e-63,9.54760862590923e-61
"ENSG00000154930.17","ENSG00000154930","ACSS1",659.143374981667,1.89003841769742,0.112330255370827,16.8257288426701,1.58104049939191e-63,9.6228900680846e-61
"ENSG00000109906.17","ENSG00000109906","ZBTB16",1209.10739576522,7.42625594001026,0.446980293585045,16.6142804203902,5.49299903321401e-62,3.22798929393218e-59
"ENSG00000107562.19","ENSG00000107562","CXCL12",28105.8228692182,-1.87442027107117,0.11293709107795,-16.5970298436095,7.32258159822701e-62,4.15971451989949e-59
